Sales,Region,Product,Date,Cost,Month,Day_of_Week,Profit,Margin_Percent,Sales_Normalized,Sales_Tier
250,North,A,2024-01-01,216.31,1,Segunda,33.69,13.475999999999999,0.36363636363636365,Baixa
400,East,B,2024-01-02,348.15,1,Terça,51.85000000000002,12.962500000000004,0.6363636363636364,Alta
150,West,C,2024-01-03,123.0,1,Quarta,27.0,18.0,0.18181818181818182,Baixa
350,South,D,2024-01-04,296.9,1,Quinta,53.10000000000002,15.171428571428578,0.5454545454545454,Alta
500,North,A,2024-01-05,378.85,1,Sexta,121.14999999999998,24.229999999999997,0.8181818181818182,Alta
300,East,B,2024-01-06,218.94,1,Sábado,81.06,27.02,0.45454545454545453,Baixa
200,West,C,2024-01-07,172.45,1,Domingo,27.55000000000001,13.775000000000007,0.2727272727272727,Baixa
450,South,D,2024-01-08,363.14,1,Segunda,86.86000000000001,19.302222222222227,0.7272727272727273,Alta
600,North,A,2024-01-09,411.56,1,Terça,188.44,31.406666666666666,1.0,Alta
50,East,B,2024-01-10,38.46,1,Quarta,11.54,23.08,0.0,Baixa
